"Isolate_Id","Subtype","Submitting_Lab","Originating_Lab"
"MZ293499","A/H3N2","Chinese Center for Disease Control and Prevention, Department of Zoonosis",NA
"MZ293500","A/H3N2","Chinese Center for Disease Control and Prevention, Department of Zoonosis",NA
"MZ293528","A/H3N2","Chinese Center for Disease Control and Prevention, Department of Zoonosis",NA
"MZ293529","A/H3N2","Chinese Center for Disease Control and Prevention, Department of Zoonosis",NA
"MZ293533","A/H3N2","Chinese Center for Disease Control and Prevention, Department of Zoonosis",NA
"MZ293514","A/H3N2","Chinese Center for Disease Control and Prevention, Department of Zoonosis",NA
"MZ293502","A/H3N2","Chinese Center for Disease Control and Prevention, Department of Zoonosis",NA
"MZ293524","A/H3N2","Chinese Center for Disease Control and Prevention, Department of Zoonosis",NA
"MZ293510","A/H3N2","Chinese Center for Disease Control and Prevention, Department of Zoonosis",NA
"MZ293521","A/H3N2","Chinese Center for Disease Control and Prevention, Department of Zoonosis",NA
"MZ293518","A/H3N2","Chinese Center for Disease Control and Prevention, Department of Zoonosis",NA
"MZ293513","A/H3N2","Chinese Center for Disease Control and Prevention, Department of Zoonosis",NA
"MZ293506","A/H3N2","Chinese Center for Disease Control and Prevention, Department of Zoonosis",NA
"MZ293507","A/H3N2","Chinese Center for Disease Control and Prevention, Department of Zoonosis",NA
"EPI_ISL_18624057","A/H3N2","Chinese University of Hong Kong","the Chinese University of Hong Kong"
"EPI_ISL_18624063","A/H3N2","Chinese University of Hong Kong","the Chinese University of Hong Kong"
"EPI_ISL_18624170","A/H3N2","Chinese University of Hong Kong","the Chinese University of Hong Kong"
"EPI_ISL_18624168","A/H3N2","Chinese University of Hong Kong","the Chinese University of Hong Kong"
"EPI_ISL_18624098","A/H3N2","Chinese University of Hong Kong","the Chinese University of Hong Kong"
"EPI_ISL_18624100","A/H3N2","Chinese University of Hong Kong","the Chinese University of Hong Kong"
"EPI_ISL_18624064","A/H3N2","Chinese University of Hong Kong","the Chinese University of Hong Kong"
"EPI_ISL_18624171","A/H3N2","Chinese University of Hong Kong","the Chinese University of Hong Kong"
"EPI_ISL_18624156","A/H3N2","Chinese University of Hong Kong","the Chinese University of Hong Kong"
"EPI_ISL_18624070","A/H3N2","Chinese University of Hong Kong","the Chinese University of Hong Kong"
"EPI_ISL_18624113","A/H3N2","Chinese University of Hong Kong","the Chinese University of Hong Kong"
"EPI_ISL_389134","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_389137","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_389142","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_345777","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_671413","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_389131","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_389133","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_389132","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_389138","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_389140","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_389144","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_534008","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_389130","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_345747","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_5135256","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_534028","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","Institute of Public Health"
"EPI_ISL_368268","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","Institute of Public Health"
"EPI_ISL_534025","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","Institute of Public Health"
"EPI_ISL_412107","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","Sher-i-Kashmir Institute of Medical Sciences"
"EPI_ISL_534009","A/H3N2","CNR Virus des Infections Respiratoires - France SUD","Sher-i-Kashmir Institute of Medical Sciences"
"EPI_ISL_247486","A/H3N2","CNR Virus des Infections Respiratoires - France SUD",NA
"EPI_ISL_16200623","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Center for Veterinary Diagnostics - Regional Animal Health Office No.6"
"EPI_ISL_17324301","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_16822802","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_17693799","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_17638527","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_17324441","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_16822660","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_16311699","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_17324430","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_17693788","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_17324361","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_18585249","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_17693464","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_17693722","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_16823054","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_16823087","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_16823094","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_17693404","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_13970490","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_13970485","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_13970479","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_13970486","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_13970496","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_13970494","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_13970231","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_16868897","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Sher-i-Kashmir Institute of Medical Sciences"
"EPI_ISL_16868896","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Sher-i-Kashmir Institute of Medical Sciences"
"EPI_ISL_16868900","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Sher-i-Kashmir Institute of Medical Sciences"
"EPI_ISL_16868901","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Sher-i-Kashmir Institute of Medical Sciences"
"EPI_ISL_16868899","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Sher-i-Kashmir Institute of Medical Sciences"
"EPI_ISL_18131267","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Sher-i-Kashmir Institute of Medical Sciences"
"EPI_ISL_18131273","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Sher-i-Kashmir Institute of Medical Sciences"
"EPI_ISL_18131272","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Sher-i-Kashmir Institute of Medical Sciences"
"EPI_ISL_18131275","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Sher-i-Kashmir Institute of Medical Sciences"
"EPI_ISL_16868894","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Sher-i-Kashmir Institute of Medical Sciences"
"EPI_ISL_18131270","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Sher-i-Kashmir Institute of Medical Sciences"
"EPI_ISL_18131268","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Sher-i-Kashmir Institute of Medical Sciences"
"EPI_ISL_18131274","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Sher-i-Kashmir Institute of Medical Sciences"
"EPI_ISL_17502993","A/H3N2","Comenius University Science Park","National Public Health Institute of Slovakia"
"EPI_ISL_17502997","A/H3N2","Comenius University Science Park","National Public Health Institute of Slovakia"
"EPI_ISL_17502979","A/H3N2","Comenius University Science Park","National Public Health Institute of Slovakia"
"EPI_ISL_17502992","A/H3N2","Comenius University Science Park","National Public Health Institute of Slovakia"
"EPI_ISL_17496652","A/H3N2","Comenius University Science Park","National Public Health Institute of Slovakia"
"EPI_ISL_17496542","A/H3N2","Comenius University Science Park","National Public Health Institute of Slovakia"
"EPI_ISL_17246679","A/H3N2","Comenius University Science Park","National Public Health Institute of Slovakia"
"EPI_ISL_17246698","A/H3N2","Comenius University Science Park","National Public Health Institute of Slovakia"
"EPI_ISL_17246685","A/H3N2","Comenius University Science Park","National Public Health Institute of Slovakia"
"EPI_ISL_17246701","A/H3N2","Comenius University Science Park","National Public Health Institute of Slovakia"
"EPI_ISL_17246692","A/H3N2","Comenius University Science Park","National Public Health Institute of Slovakia"
"EPI_ISL_13017083","A/H3N2","Crick Worldwide Influenza Centre","Barcelona, Facultad de Medicina"
"EPI_ISL_268039","A/H3N2","Crick Worldwide Influenza Centre","Barcelona, Facultad de Medicina"
"EPI_ISL_409958","A/H3N2","Crick Worldwide Influenza Centre","Barcelona, Facultad de Medicina"
"EPI_ISL_264051","A/H3N2","Crick Worldwide Influenza Centre","Cantacuzino Institute"
"EPI_ISL_9627676","A/H3N2","Crick Worldwide Influenza Centre","Cantacuzino Institute"
"EPI_ISL_264054","A/H3N2","Crick Worldwide Influenza Centre","Cantacuzino Institute"
"EPI_ISL_344081","A/H3N2","Crick Worldwide Influenza Centre","Cantacuzino Institute"
"EPI_ISL_14212966","A/H3N2","Crick Worldwide Influenza Centre","Cantacuzino Institute"
"EPI_ISL_253089","A/H3N2","Crick Worldwide Influenza Centre","Cantacuzino Institute"
"EPI_ISL_332805","A/H3N2","Crick Worldwide Influenza Centre","Cantacuzino Institute"
"EPI_ISL_347148","A/H3N2","Crick Worldwide Influenza Centre","Cantacuzino Institute"
"EPI_ISL_259663","A/H3N2","Crick Worldwide Influenza Centre","Central Veterinary Institute Budapest"
"EPI_ISL_9593265","A/H3N2","Crick Worldwide Influenza Centre","Central Veterinary Institute Budapest"
"EPI_ISL_13957778","A/H3N2","Crick Worldwide Influenza Centre","Central Veterinary Institute Budapest"
"EPI_ISL_9593243","A/H3N2","Crick Worldwide Influenza Centre","Central Veterinary Institute Budapest"
"EPI_ISL_527222","A/H3N2","Crick Worldwide Influenza Centre","Central Veterinary Institute Budapest"
"EPI_ISL_211744","A/H3N2","Crick Worldwide Influenza Centre","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_498396","A/H3N2","Crick Worldwide Influenza Centre","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_9401951","A/H3N2","Crick Worldwide Influenza Centre","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_355071","A/H3N2","Crick Worldwide Influenza Centre","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_498347","A/H3N2","Crick Worldwide Influenza Centre","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_213075","A/H3N2","Crick Worldwide Influenza Centre","Croatian Institute of Public Health"
"EPI_ISL_12219329","A/H3N2","Crick Worldwide Influenza Centre","Croatian Institute of Public Health"
"EPI_ISL_193167","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_193168","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_193169","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_237576","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_294229","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_274728","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_293110","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_274702","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_274715","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_293102","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_293087","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_338749","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_732330","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_732318","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_732329","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_732324","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_732326","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_732336","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_732328","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_732331","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_17223720","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_18167531","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_208195","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_274743","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_278085","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_274720","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_274722","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_274701","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_377303","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_406295","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_16751016","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_18167528","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_18167535","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_237575","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_273250","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_274736","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_312269","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_16751042","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_14794893","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_16751015","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_193162","A/H3N2","Crick Worldwide Influenza Centre","Health Protection Inspectorate"
"EPI_ISL_17049181","A/H3N2","Crick Worldwide Influenza Centre","Health Protection Inspectorate"
"EPI_ISL_17049158","A/H3N2","Crick Worldwide Influenza Centre","Health Protection Inspectorate"
"EPI_ISL_18007338","A/H3N2","Crick Worldwide Influenza Centre","Health Protection Inspectorate"
"EPI_ISL_17820166","A/H3N2","Crick Worldwide Influenza Centre","Health Protection Inspectorate"
"EPI_ISL_179330","A/H3N2","Crick Worldwide Influenza Centre","Hellenic Pasteur Institute"
"EPI_ISL_341959","A/H3N2","Crick Worldwide Influenza Centre","Hellenic Pasteur Institute"
"EPI_ISL_407441","A/H3N2","Crick Worldwide Influenza Centre","Hellenic Pasteur Institute"
"EPI_ISL_342083","A/H3N2","Crick Worldwide Influenza Centre","Hellenic Pasteur Institute"
"EPI_ISL_409941","A/H3N2","Crick Worldwide Influenza Centre","Hellenic Pasteur Institute"
"EPI_ISL_18486190","A/H3N2","Crick Worldwide Influenza Centre","Hospital Universitari Vall d'Hebron"
"EPI_ISL_299015","A/H3N2","Crick Worldwide Influenza Centre","Institut Pasteur"
"EPI_ISL_245167","A/H3N2","Crick Worldwide Influenza Centre","Institut Pasteur"
"EPI_ISL_276889","A/H3N2","Crick Worldwide Influenza Centre","Institut Pasteur"
"EPI_ISL_15938115","A/H3N2","Crick Worldwide Influenza Centre","Institut Pasteur"
"EPI_ISL_462110","A/H3N2","Crick Worldwide Influenza Centre","Institut Pasteur"
"EPI_ISL_224552","A/H3N2","Crick Worldwide Influenza Centre","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_224542","A/H3N2","Crick Worldwide Influenza Centre","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_273251","A/H3N2","Crick Worldwide Influenza Centre","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_347701","A/H3N2","Crick Worldwide Influenza Centre","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_190919","A/H3N2","Crick Worldwide Influenza Centre","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_264064","A/H3N2","Crick Worldwide Influenza Centre","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_224545","A/H3N2","Crick Worldwide Influenza Centre","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_224533","A/H3N2","Crick Worldwide Influenza Centre","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_347702","A/H3N2","Crick Worldwide Influenza Centre","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_315968","A/H3N2","Crick Worldwide Influenza Centre","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_364793","A/H3N2","Crick Worldwide Influenza Centre","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_9842669","A/H3N2","Crick Worldwide Influenza Centre","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_264071","A/H3N2","Crick Worldwide Influenza Centre","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_273267","A/H3N2","Crick Worldwide Influenza Centre","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_410034","A/H3N2","Crick Worldwide Influenza Centre","Institute of Immunology and Virology Torlak"
"EPI_ISL_17063732","A/H3N2","Crick Worldwide Influenza Centre","Institute of Immunology and Virology Torlak"
"EPI_ISL_14653673","A/H3N2","Crick Worldwide Influenza Centre","Institute of Immunology and Virology Torlak"
"EPI_ISL_363111","A/H3N2","Crick Worldwide Influenza Centre","Institute of Public Health"
"EPI_ISL_12219341","A/H3N2","Crick Worldwide Influenza Centre","Institute of Public Health"
"EPI_ISL_267969","A/H3N2","Crick Worldwide Influenza Centre","Institute of Public Health"
"EPI_ISL_267117","A/H3N2","Crick Worldwide Influenza Centre","Institute of Public Health"
"EPI_ISL_12219331","A/H3N2","Crick Worldwide Influenza Centre","Institute of Public Health"
"EPI_ISL_17223811","A/H3N2","Crick Worldwide Influenza Centre","Institute of Public Health"
"EPI_ISL_12219340","A/H3N2","Crick Worldwide Influenza Centre","Institute of Public Health"
"EPI_ISL_377327","A/H3N2","Crick Worldwide Influenza Centre","Institute of Public Health (Macedonia)"
"EPI_ISL_410004","A/H3N2","Crick Worldwide Influenza Centre","Institute of Public Health (Macedonia)"
"EPI_ISL_377334","A/H3N2","Crick Worldwide Influenza Centre","Institute of Public Health (Macedonia)"
"EPI_ISL_498375","A/H3N2","Crick Worldwide Influenza Centre","Institute of Public Health (Macedonia)"
"EPI_ISL_244184","A/H3N2","Crick Worldwide Influenza Centre","Instituto de Salud Carlos III"
"EPI_ISL_314928","A/H3N2","Crick Worldwide Influenza Centre","Instituto de Salud Carlos III"
"EPI_ISL_12240103","A/H3N2","Crick Worldwide Influenza Centre","Instituto de Salud Carlos III"
"EPI_ISL_15999277","A/H3N2","Crick Worldwide Influenza Centre","Instituto de Salud Carlos III"
"EPI_ISL_257347","A/H3N2","Crick Worldwide Influenza Centre","Instituto de Salud Carlos III"
"EPI_ISL_292904","A/H3N2","Crick Worldwide Influenza Centre","Instituto de Salud Carlos III"
"EPI_ISL_342000","A/H3N2","Crick Worldwide Influenza Centre","Instituto de Salud Carlos III"
"EPI_ISL_315754","A/H3N2","Crick Worldwide Influenza Centre","Instituto de Salud Carlos III"
"EPI_ISL_12240155","A/H3N2","Crick Worldwide Influenza Centre","Instituto de Salud Carlos III"
"EPI_ISL_315991","A/H3N2","Crick Worldwide Influenza Centre","Instituto de Salud Carlos III"
"EPI_ISL_12219457","A/H3N2","Crick Worldwide Influenza Centre","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_12219310","A/H3N2","Crick Worldwide Influenza Centre","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_12219299","A/H3N2","Crick Worldwide Influenza Centre","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_14660223","A/H3N2","Crick Worldwide Influenza Centre","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_14660254","A/H3N2","Crick Worldwide Influenza Centre","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_14660242","A/H3N2","Crick Worldwide Influenza Centre","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_12219304","A/H3N2","Crick Worldwide Influenza Centre","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_17204375","A/H3N2","Crick Worldwide Influenza Centre","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_14758968","A/H3N2","Crick Worldwide Influenza Centre","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_276277","A/H3N2","Crick Worldwide Influenza Centre","Instituto Nacional de Saude (INSA)"
"EPI_ISL_367787","A/H3N2","Crick Worldwide Influenza Centre","Instituto Nacional de Saude (INSA)"
"EPI_ISL_9401968","A/H3N2","Crick Worldwide Influenza Centre","Instituto Nacional de Saude (INSA)"
"EPI_ISL_224551","A/H3N2","Crick Worldwide Influenza Centre","Istituto Superiore di Sanità"
"EPI_ISL_18167275","A/H3N2","Crick Worldwide Influenza Centre","Istituto Superiore di Sanità"
"EPI_ISL_181597","A/H3N2","Crick Worldwide Influenza Centre","Istituto Superiore di Sanità"
"EPI_ISL_181593","A/H3N2","Crick Worldwide Influenza Centre","Istituto Superiore di Sanità"
"EPI_ISL_245207","A/H3N2","Crick Worldwide Influenza Centre","Istituto Superiore di Sanità"
"EPI_ISL_486708","A/H3N2","Crick Worldwide Influenza Centre","Istituto Superiore di Sanità"
"EPI_ISL_14212956","A/H3N2","Crick Worldwide Influenza Centre","Istituto Superiore di Sanità"
"EPI_ISL_181599","A/H3N2","Crick Worldwide Influenza Centre","Istituto Superiore di Sanità"
"EPI_ISL_245190","A/H3N2","Crick Worldwide Influenza Centre","Istituto Superiore di Sanità"
"EPI_ISL_303946","A/H3N2","Crick Worldwide Influenza Centre","Istituto Superiore di Sanità"
"EPI_ISL_347192","A/H3N2","Crick Worldwide Influenza Centre","Istituto Superiore di Sanità"
"EPI_ISL_388735","A/H3N2","Crick Worldwide Influenza Centre","Istituto Superiore di Sanità"
"EPI_ISL_253127","A/H3N2","Crick Worldwide Influenza Centre","Laboratoire National de Sante"
"EPI_ISL_201663","A/H3N2","Crick Worldwide Influenza Centre","Laboratório de Isolamento Viral"
"EPI_ISL_201669","A/H3N2","Crick Worldwide Influenza Centre","Laboratório de Isolamento Viral"
"EPI_ISL_201677","A/H3N2","Crick Worldwide Influenza Centre","Laboratório de Isolamento Viral"
"EPI_ISL_201673","A/H3N2","Crick Worldwide Influenza Centre","Laboratório de Isolamento Viral"
"EPI_ISL_201683","A/H3N2","Crick Worldwide Influenza Centre","Laboratório de Isolamento Viral"
"EPI_ISL_201676","A/H3N2","Crick Worldwide Influenza Centre","Laboratório de Isolamento Viral"
"EPI_ISL_201675","A/H3N2","Crick Worldwide Influenza Centre","Laboratório de Isolamento Viral"
"EPI_ISL_201670","A/H3N2","Crick Worldwide Influenza Centre","Laboratório de Isolamento Viral"
"EPI_ISL_201678","A/H3N2","Crick Worldwide Influenza Centre","Laboratório de Isolamento Viral"
"EPI_ISL_201667","A/H3N2","Crick Worldwide Influenza Centre","Laboratório de Isolamento Viral"
"EPI_ISL_224567","A/H3N2","Crick Worldwide Influenza Centre","Laboratory for Virology, National Institute of Public Health"
"EPI_ISL_429943","A/H3N2","Crick Worldwide Influenza Centre","Laboratory for Virology, National Institute of Public Health"
"EPI_ISL_434432","A/H3N2","Crick Worldwide Influenza Centre","Laboratory for Virology, National Institute of Public Health"
"EPI_ISL_434435","A/H3N2","Crick Worldwide Influenza Centre","Laboratory for Virology, National Institute of Public Health"
"EPI_ISL_16759995","A/H3N2","Crick Worldwide Influenza Centre","Laboratory for Virology, National Institute of Public Health"
"EPI_ISL_16836704","A/H3N2","Crick Worldwide Influenza Centre","Laboratory for Virology, National Institute of Public Health"
"EPI_ISL_193181","A/H3N2","Crick Worldwide Influenza Centre","Laboratory for Virology, National Institute of Public Health"
"EPI_ISL_363122","A/H3N2","Crick Worldwide Influenza Centre","Laboratory for Virology, National Institute of Public Health"
"EPI_ISL_17699598","A/H3N2","Crick Worldwide Influenza Centre","Laboratory for Virology, National Institute of Public Health"
"EPI_ISL_257351","A/H3N2","Crick Worldwide Influenza Centre","Laboratory of Influenza and ILI"
"EPI_ISL_367804","A/H3N2","Crick Worldwide Influenza Centre","Laboratory of Influenza and ILI"
"EPI_ISL_257358","A/H3N2","Crick Worldwide Influenza Centre","Laboratory of Influenza and ILI"
"EPI_ISL_257356","A/H3N2","Crick Worldwide Influenza Centre","Laboratory of Influenza and ILI"
